animal_type,has_name,age_days_outcome,age_group_intake,los_at_shelter,month_of_outcome,is_fixed,breed_type,color_group,intake_condition_group,agg_cluster
Dog,1,78,Puppy/Kitten,31,March,1,Pure,Black,Healthy/Normal,0
Cat,1,55,Puppy/Kitten,4,April,0,Mix,Black,Healthy/Normal,0
Dog,1,62,Puppy/Kitten,1,November,1,Mix,White,Healthy/Normal,0
Cat,1,3294,Senior,7,September,1,Mix,White,Healthy/Normal,0
Cat,1,139,Puppy/Kitten,108,August,1,Pure,Grey,Healthy/Normal,0
Dog,1,1117,Adult,20,September,1,Mix,White,Healthy/Normal,0
Cat,0,125,Puppy/Kitten,2,November,0,Pure,Brown,Healthy/Normal,0
Dog,1,1210,Adult,1,July,1,Pure,Black,Healthy/Normal,0
Dog,1,735,Young Adult,5,November,1,Mix,Grey,Healthy/Normal,0
Dog,1,255,Puppy/Kitten,12,April,1,Mix,White,Healthy/Normal,0
Cat,1,111,Puppy/Kitten,4,August,1,Mix,Other,Healthy/Normal,0
Dog,1,2567,Senior,9,May,1,Pure,Black,Sick/Medical,0
Dog,1,736,Young Adult,6,January,0,Mix,Gold,Healthy/Normal,0
Cat,1,4827,Senior,79,April,1,Mix,White,Healthy/Normal,0
Cat,1,28,Puppy/Kitten,5,November,0,Mix,Other,Healthy/Normal,0
Cat,1,61,Puppy/Kitten,28,June,1,Pure,Brown,Healthy/Normal,0
Cat,1,113,Puppy/Kitten,8,April,1,Mix,White,Healthy/Normal,0
Cat,1,177,Puppy/Kitten,24,October,1,Mix,Black,Sick/Medical,0
Dog,1,741,Young Adult,11,August,1,Mix,Black,Healthy/Normal,0
Dog,1,1154,Adult,58,August,1,Mix,White,Healthy/Normal,0
Dog,1,2198,Adult,5,May,1,Mix,Black,Healthy/Normal,0
Cat,1,82,Puppy/Kitten,21,October,1,Mix,Red,Injured,0
Dog,0,73,Puppy/Kitten,62,December,1,Mix,White,Healthy/Normal,0
Cat,1,734,Young Adult,4,December,0,Pure,White,Injured,0
Dog,0,126,Puppy/Kitten,3,January,1,Mix,Black,Healthy/Normal,0
Dog,1,62,Puppy/Kitten,5,December,1,Pure,Black,Healthy/Normal,0
Cat,0,247,Puppy/Kitten,3,June,0,Pure,White,Healthy/Normal,0
Dog,1,734,Young Adult,4,March,1,Mix,Black,Healthy/Normal,0
Dog,0,3656,Senior,3,August,1,Pure,Red,Healthy/Normal,0
Dog,1,198,Puppy/Kitten,45,December,1,Mix,Black,Healthy/Normal,0
Cat,0,1835,Adult,9,March,0,Mix,White,Sick/Medical,0
Dog,1,409,Young Adult,43,November,1,Pure,White,Healthy/Normal,0
Dog,0,127,Puppy/Kitten,4,October,1,Pure,Black,Healthy/Normal,0
Dog,1,2679,Senior,68,January,1,Pure,Brown,Healthy/Normal,0
Dog,1,637,Young Adult,1,September,1,Mix,Black,Healthy/Normal,0
Cat,1,98,Puppy/Kitten,9,June,1,Pure,White,Healthy/Normal,0
Cat,1,432,Young Adult,66,November,1,Mix,Grey,Healthy/Normal,0
Dog,1,429,Young Adult,63,June,1,Mix,White,Healthy/Normal,0
Cat,1,73,Puppy/Kitten,5,August,1,Mix,Other,Healthy/Normal,0
Cat,1,64,Puppy/Kitten,31,June,1,Pure,White,Healthy/Normal,0
Dog,0,308,Puppy/Kitten,4,March,1,Pure,Other,Healthy/Normal,0
Cat,1,94,Puppy/Kitten,8,February,1,Pure,White,Healthy/Normal,0
Cat,0,185,Puppy/Kitten,3,August,0,Pure,Brown,Healthy/Normal,0
Dog,1,384,Young Adult,2,November,1,Mix,White,Healthy/Normal,0
Dog,1,737,Young Adult,7,August,1,Mix,Grey,Healthy/Normal,0
Cat,1,92,Puppy/Kitten,14,October,1,Pure,Brown,Healthy/Normal,0
Dog,0,368,Puppy/Kitten,3,September,0,Mix,Black,Healthy/Normal,0
Cat,1,86,Puppy/Kitten,9,February,1,Pure,White,Healthy/Normal,0
Dog,1,492,Young Adult,4,January,1,Mix,Black,Healthy/Normal,0
Cat,0,4387,Senior,4,April,0,Mix,Black,Healthy/Normal,0
Dog,0,168,Puppy/Kitten,3,June,1,Mix,White,Healthy/Normal,0
Dog,1,2056,Adult,228,November,1,Pure,White,Healthy/Normal,0
Dog,1,101,Puppy/Kitten,4,October,1,Mix,Other,Healthy/Normal,0
Dog,1,1189,Adult,92,May,1,Pure,White,Healthy/Normal,0
Dog,0,554,Young Adult,4,January,0,Mix,Brown,Life Stage/Developmental,0
Cat,0,735,Young Adult,4,December,0,Pure,Black,Healthy/Normal,0
Cat,0,97,Puppy/Kitten,5,October,1,Pure,Black,Healthy/Normal,0
Cat,1,7308,Senior,2,February,1,Mix,Other,Healthy/Normal,0
Dog,1,1583,Adult,113,September,1,Mix,White,Healthy/Normal,0
Dog,0,735,Young Adult,5,December,0,Pure,Black,Healthy/Normal,0
Dog,1,1643,Adult,181,July,1,Mix,Black,Injured,0
Dog,1,365,Puppy/Kitten,1,February,0,Mix,White,Healthy/Normal,0
Dog,1,65,Puppy/Kitten,4,August,1,Mix,White,Healthy/Normal,0
Dog,1,57,Puppy/Kitten,19,February,1,Mix,Black,Healthy/Normal,0
Dog,1,3224,Senior,4,September,1,Mix,Black,Healthy/Normal,0
Dog,1,186,Puppy/Kitten,6,April,1,Mix,Gold,Healthy/Normal,0
Dog,0,1100,Adult,3,November,0,Mix,White,Injured,0
Dog,1,138,Puppy/Kitten,16,November,1,Pure,Tricolor,Healthy/Normal,0
Cat,1,183,Puppy/Kitten,2,March,1,Mix,Grey,Healthy/Normal,0
Cat,1,109,Puppy/Kitten,1,July,1,Mix,Black,Healthy/Normal,0
Cat,1,69,Puppy/Kitten,39,July,1,Mix,Black,Healthy/Normal,0
Cat,0,1101,Adult,6,May,1,Mix,Red,Healthy/Normal,0
Cat,1,41,Puppy/Kitten,5,October,0,Pure,Brown,Healthy/Normal,0
Dog,0,734,Young Adult,3,December,0,Pure,Red,Healthy/Normal,0
Dog,1,2813,Senior,3,June,1,Mix,White,Healthy/Normal,0
Dog,0,218,Puppy/Kitten,4,December,1,Pure,White,Healthy/Normal,0
Dog,0,68,Puppy/Kitten,6,October,1,Mix,White,Healthy/Normal,0
Cat,0,73,Puppy/Kitten,64,May,1,Pure,Brown,Life Stage/Developmental,0
Cat,1,588,Young Adult,15,December,1,Mix,Black,Healthy/Normal,0
Dog,1,366,Puppy/Kitten,4,February,1,Mix,Brown,Injured,0
Cat,1,102,Puppy/Kitten,76,August,1,Pure,Red,Healthy/Normal,0
Cat,1,125,Puppy/Kitten,77,July,1,Mix,Other,Injured,0
Cat,1,1891,Adult,64,March,1,Mix,Grey,Sick/Medical,0
Dog,1,2564,Senior,8,January,1,Pure,Black,Healthy/Normal,0
Dog,1,373,Young Adult,8,June,1,Pure,Black,Healthy/Normal,0
Dog,1,1101,Adult,5,February,1,Pure,White,Healthy/Normal,0
Dog,1,741,Young Adult,10,March,1,Mix,White,Healthy/Normal,0
Dog,1,1106,Adult,11,February,1,Pure,Black,Healthy/Normal,0
Cat,1,76,Puppy/Kitten,44,May,1,Pure,Brown,Healthy/Normal,0
Dog,0,309,Puppy/Kitten,5,September,1,Mix,Gold,Healthy/Normal,0
Cat,0,33,Puppy/Kitten,1,November,0,Mix,Black,Healthy/Normal,0
Dog,0,72,Puppy/Kitten,4,January,1,Mix,White,Healthy/Normal,0
Dog,1,741,Young Adult,9,August,1,Pure,White,Healthy/Normal,0
Cat,1,34,Puppy/Kitten,3,May,0,Pure,Black,Life Stage/Developmental,0
Dog,1,101,Puppy/Kitten,8,February,0,Mix,Black,Healthy/Normal,0
Dog,1,771,Young Adult,41,January,1,Pure,Grey,Healthy/Normal,0
Cat,0,70,Puppy/Kitten,9,November,1,Pure,White,Healthy/Normal,0
Cat,1,96,Puppy/Kitten,50,September,1,Pure,White,Healthy/Normal,0
Cat,1,738,Young Adult,7,March,1,Pure,Grey,Injured,0
Bird,0,382,Young Adult,16,August,0,Pure,Tricolor,Healthy/Normal,0
Dog,1,106,Puppy/Kitten,3,December,1,Mix,White,Healthy/Normal,0
Dog,1,64,Puppy/Kitten,3,January,1,Mix,Brown,Healthy/Normal,0
Other,0,368,Young Adult,3,May,0,Mix,Brown,Healthy/Normal,0
Dog,1,193,Puppy/Kitten,25,September,0,Mix,Black,Healthy/Normal,0
Cat,0,755,Young Adult,6,June,1,Mix,Red,Injured,0
Cat,1,38,Puppy/Kitten,8,June,0,Mix,Other,Healthy/Normal,0
Cat,1,87,Puppy/Kitten,47,July,1,Pure,Brown,Healthy/Normal,0
Cat,1,68,Puppy/Kitten,7,August,0,Mix,Black,Healthy/Normal,0
Cat,1,388,Young Adult,23,September,1,Pure,Black,Healthy/Normal,0
Dog,1,549,Young Adult,3,May,0,Pure,White,Healthy/Normal,0
Cat,1,74,Puppy/Kitten,41,October,1,Pure,Other,Healthy/Normal,0
Dog,1,75,Puppy/Kitten,13,August,1,Mix,Black,Healthy/Normal,0
Cat,1,742,Young Adult,10,July,1,Mix,Brown,Healthy/Normal,0
Cat,0,116,Puppy/Kitten,8,October,0,Pure,Brown,Healthy/Normal,0
Cat,1,101,Puppy/Kitten,37,December,1,Mix,White,Healthy/Normal,0
Dog,1,732,Young Adult,1,August,0,Mix,White,Healthy/Normal,0
Dog,1,853,Young Adult,122,June,1,Mix,Black,Healthy/Normal,0
Dog,1,183,Puppy/Kitten,1,July,1,Pure,Brown,Healthy/Normal,0
Dog,1,1461,Adult,3,August,0,Pure,Other,Injured,0
Dog,1,370,Puppy/Kitten,6,June,0,Mix,Brown,Healthy/Normal,0
Dog,1,3121,Senior,8,February,1,Mix,White,Healthy/Normal,0
Dog,1,98,Puppy/Kitten,6,July,1,Pure,Grey,Healthy/Normal,0
Cat,0,369,Young Adult,4,June,0,Mix,White,Healthy/Normal,0
Dog,1,333,Puppy/Kitten,10,February,1,Mix,Gold,Healthy/Normal,0
Other,0,372,Young Adult,5,April,0,Pure,Brown,Healthy/Normal,0
Dog,0,96,Puppy/Kitten,4,January,1,Pure,Black,Healthy/Normal,0
Dog,1,4419,Senior,35,October,1,Pure,White,Sick/Medical,0
Cat,1,3595,Senior,3,September,0,Pure,Other,Life Stage/Developmental,0
Dog,0,740,Young Adult,10,July,0,Mix,White,Injured,0
Cat,1,219,Puppy/Kitten,37,October,1,Mix,Black,Healthy/Normal,0
Cat,0,1100,Adult,4,April,0,Mix,Red,Healthy/Normal,0
Cat,1,382,Young Adult,17,January,1,Pure,Brown,Healthy/Normal,0
Dog,1,795,Young Adult,63,September,1,Pure,Black,Healthy/Normal,0
Cat,1,37,Puppy/Kitten,13,August,0,Pure,White,Healthy/Normal,0
Dog,1,187,Puppy/Kitten,3,February,1,Pure,Black,Healthy/Normal,0
Cat,1,31,Puppy/Kitten,7,August,0,Mix,Brown,Healthy/Normal,0
Other,0,367,Young Adult,1,March,0,Mix,Brown,Healthy/Normal,0
Cat,0,66,Puppy/Kitten,23,May,1,Pure,Black,Healthy/Normal,0
Dog,1,2625,Senior,68,August,0,Pure,Black,Healthy/Normal,0
Dog,1,747,Young Adult,15,April,1,Mix,Black,Healthy/Normal,0
Dog,1,87,Puppy/Kitten,11,October,1,Mix,Black,Healthy/Normal,0
Dog,1,372,Young Adult,6,December,1,Mix,White,Healthy/Normal,0
Dog,1,1646,Adult,3,September,1,Pure,White,Healthy/Normal,0
Cat,1,392,Young Adult,27,August,1,Mix,Brown,Healthy/Normal,0
Cat,1,1849,Adult,21,September,0,Mix,Black,Sick/Medical,0
Dog,1,376,Young Adult,11,August,1,Mix,Black,Healthy/Normal,0
Cat,1,80,Puppy/Kitten,12,May,1,Pure,Other,Injured,0
Dog,1,747,Young Adult,16,May,1,Mix,Black,Injured,0
Cat,1,388,Young Adult,6,July,1,Pure,White,Healthy/Normal,0
Dog,1,1470,Adult,8,October,1,Mix,White,Healthy/Normal,0
Cat,1,78,Puppy/Kitten,32,December,1,Pure,White,Healthy/Normal,0
Cat,1,585,Young Adult,35,December,1,Mix,Black,Healthy/Normal,0
Cat,1,89,Puppy/Kitten,13,July,1,Mix,White,Healthy/Normal,0
Cat,1,101,Puppy/Kitten,9,December,1,Mix,Black,Injured,0
Bird,1,389,Young Adult,23,March,0,Mix,White,Healthy/Normal,0
Dog,1,158,Puppy/Kitten,4,January,0,Mix,White,Healthy/Normal,0
Cat,0,66,Puppy/Kitten,5,May,1,Mix,Grey,Healthy/Normal,0
Dog,1,739,Young Adult,8,November,1,Pure,Black,Healthy/Normal,0
Dog,1,264,Puppy/Kitten,7,July,1,Mix,White,Healthy/Normal,0
Other,0,732,Young Adult,1,February,0,Pure,Black,Healthy/Normal,0
Cat,1,186,Puppy/Kitten,3,December,1,Mix,Brown,Healthy/Normal,0
Cat,1,79,Puppy/Kitten,43,June,1,Pure,Black,Sick/Medical,0
Dog,1,369,Young Adult,3,October,0,Mix,Black,Healthy/Normal,0
Dog,1,743,Young Adult,12,March,1,Pure,Black,Injured,0
Dog,1,373,Young Adult,7,June,1,Mix,Brown,Healthy/Normal,0
Dog,1,4752,Senior,4,September,1,Mix,Black,Healthy/Normal,0
Cat,1,126,Puppy/Kitten,19,November,1,Pure,Brown,Healthy/Normal,0
Cat,1,1125,Adult,29,February,1,Pure,White,Healthy/Normal,0
Dog,1,373,Young Adult,7,March,0,Mix,Red,Healthy/Normal,0
Dog,1,816,Young Adult,85,August,1,Pure,White,Healthy/Normal,0
Cat,1,79,Puppy/Kitten,4,January,1,Mix,White,Healthy/Normal,0
Dog,1,978,Young Adult,247,September,1,Pure,White,Healthy/Normal,0
Dog,1,1837,Adult,11,April,1,Pure,Black,Healthy/Normal,0
Dog,1,739,Young Adult,8,May,1,Pure,Black,Healthy/Normal,0
Dog,1,578,Young Adult,30,November,1,Pure,White,Sick/Medical,0
Cat,0,368,Young Adult,3,October,0,Pure,Black,Healthy/Normal,0
Dog,0,68,Puppy/Kitten,53,July,1,Mix,Red,Healthy/Normal,0
Dog,1,761,Young Adult,30,January,1,Mix,White,Healthy/Normal,0
Dog,0,735,Young Adult,4,May,1,Mix,White,Healthy/Normal,0
Cat,1,3136,Senior,41,November,1,Mix,White,Healthy/Normal,0
Cat,0,56,Puppy/Kitten,9,September,0,Mix,Grey,Healthy/Normal,0
Cat,1,375,Young Adult,9,October,1,Pure,Black,Healthy/Normal,0
Dog,1,734,Young Adult,3,December,0,Pure,White,Healthy/Normal,0
Cat,1,102,Puppy/Kitten,73,September,1,Pure,Brown,Healthy/Normal,0
Cat,1,106,Puppy/Kitten,66,November,1,Mix,White,Healthy/Normal,0
Dog,1,1106,Adult,10,July,1,Mix,White,Healthy/Normal,0
Dog,1,291,Puppy/Kitten,36,December,1,Mix,White,Healthy/Normal,0
Dog,1,96,Puppy/Kitten,3,August,1,Pure,Black,Healthy/Normal,0
Cat,1,362,Puppy/Kitten,27,May,1,Mix,Black,Healthy/Normal,0
Dog,0,43,Puppy/Kitten,2,September,0,Mix,Black,Healthy/Normal,0
Dog,1,35,Puppy/Kitten,3,June,0,Mix,Black,Healthy/Normal,0
Dog,0,495,Young Adult,7,November,0,Mix,White,Injured,0
Cat,1,86,Puppy/Kitten,19,June,1,Mix,White,Healthy/Normal,0
Dog,1,200,Puppy/Kitten,18,October,1,Mix,Black,Healthy/Normal,0
Cat,0,550,Young Adult,3,March,0,Mix,White,Healthy/Normal,0
Dog,0,366,Puppy/Kitten,5,March,1,Mix,Black,Healthy/Normal,0
Dog,1,70,Puppy/Kitten,5,July,1,Mix,White,Healthy/Normal,0
Dog,0,735,Young Adult,4,March,1,Mix,Black,Healthy/Normal,0
Cat,1,81,Puppy/Kitten,10,May,1,Pure,White,Healthy/Normal,0
Cat,0,93,Puppy/Kitten,3,June,0,Pure,Grey,Healthy/Normal,0
Other,1,1827,Adult,1,March,0,Mix,Brown,Healthy/Normal,0
Cat,1,66,Puppy/Kitten,4,May,1,Mix,Grey,Healthy/Normal,0
Cat,1,739,Young Adult,9,March,1,Mix,Grey,Healthy/Normal,0
Dog,1,2217,Adult,68,April,1,Pure,White,Healthy/Normal,0
Cat,1,261,Puppy/Kitten,18,October,1,Mix,White,Healthy/Normal,0
Dog,1,917,Young Adult,187,July,1,Mix,Black,Injured,0
Cat,1,733,Young Adult,2,October,0,Pure,Other,Healthy/Normal,0
Cat,0,72,Puppy/Kitten,4,June,1,Mix,Brown,Healthy/Normal,0
Dog,1,80,Puppy/Kitten,4,May,1,Mix,Black,Healthy/Normal,0
Cat,1,93,Puppy/Kitten,1,January,1,Mix,Other,Healthy/Normal,0
Cat,0,72,Puppy/Kitten,42,September,1,Mix,White,Healthy/Normal,0
Dog,1,71,Puppy/Kitten,70,September,1,Mix,Gold,Life Stage/Developmental,0
Dog,1,86,Puppy/Kitten,64,May,1,Mix,Black,Healthy/Normal,0
Dog,1,1842,Adult,14,April,1,Pure,Brown,Healthy/Normal,0
Cat,1,309,Puppy/Kitten,8,November,0,Mix,Brown,Healthy/Normal,0
Dog,1,735,Young Adult,5,July,1,Pure,Red,Injured,0
Dog,1,1138,Young Adult,138,January,1,Mix,White,Healthy/Normal,0
Cat,0,82,Puppy/Kitten,44,May,1,Mix,Grey,Healthy/Normal,0
Dog,1,367,Young Adult,2,June,1,Pure,White,Healthy/Normal,0
Dog,1,69,Puppy/Kitten,8,January,1,Mix,Black,Healthy/Normal,0
Dog,1,366,Young Adult,1,April,1,Mix,White,Healthy/Normal,0
Cat,1,79,Puppy/Kitten,42,June,1,Pure,Brown,Healthy/Normal,0
Cat,1,133,Puppy/Kitten,2,August,0,Pure,White,Healthy/Normal,0
Dog,1,743,Young Adult,12,December,1,Pure,Brown,Healthy/Normal,0
Dog,0,77,Puppy/Kitten,5,January,1,Mix,White,Healthy/Normal,0
Other,1,370,Young Adult,4,May,0,Pure,White,Healthy/Normal,0
Dog,1,1242,Adult,6,December,1,Mix,Black,Healthy/Normal,0
Cat,1,235,Puppy/Kitten,20,November,1,Mix,White,Injured,0
Dog,1,2931,Senior,12,January,1,Mix,Black,Healthy/Normal,0
Cat,0,282,Puppy/Kitten,7,August,1,Pure,Other,Healthy/Normal,0
Cat,1,371,Young Adult,5,January,0,Pure,Grey,Healthy/Normal,0
Cat,1,915,Young Adult,3,May,1,Mix,Black,Healthy/Normal,0
Cat,1,69,Puppy/Kitten,7,June,0,Mix,Black,Healthy/Normal,0
Dog,1,1474,Adult,12,December,1,Mix,Brown,Healthy/Normal,0
Cat,1,307,Puppy/Kitten,4,December,1,Mix,Other,Healthy/Normal,0
Cat,1,72,Puppy/Kitten,36,December,1,Pure,White,Healthy/Normal,0
Cat,1,192,Puppy/Kitten,69,October,1,Pure,Red,Healthy/Normal,0
Cat,1,67,Puppy/Kitten,44,November,1,Mix,Grey,Healthy/Normal,0
Dog,1,1973,Adult,146,January,1,Pure,White,Healthy/Normal,0
Cat,1,798,Young Adult,67,March,1,Pure,White,Healthy/Normal,0
Cat,1,939,Young Adult,208,May,1,Mix,Grey,Healthy/Normal,0
Cat,1,390,Young Adult,25,June,1,Mix,Other,Injured,0
Dog,1,5493,Senior,13,March,1,Mix,Gold,Healthy/Normal,0
Cat,1,339,Puppy/Kitten,4,August,1,Mix,Red,Healthy/Normal,0
Dog,1,63,Puppy/Kitten,1,December,0,Mix,Black,Sick/Medical,0
Cat,1,92,Puppy/Kitten,61,December,1,Mix,Other,Healthy/Normal,0
Dog,1,3023,Senior,100,April,1,Pure,White,Healthy/Normal,0
Bird,1,742,Young Adult,10,October,0,Pure,Brown,Healthy/Normal,0
Dog,1,1159,Adult,63,July,1,Mix,Black,Healthy/Normal,0
Dog,1,207,Puppy/Kitten,39,December,1,Pure,White,Healthy/Normal,0
Cat,0,59,Puppy/Kitten,7,May,1,Pure,Red,Healthy/Normal,0
Cat,1,221,Puppy/Kitten,68,December,1,Pure,White,Injured,0
Dog,1,795,Young Adult,64,June,1,Mix,Black,Injured,0
Cat,0,8,Puppy/Kitten,2,May,0,Mix,Black,Healthy/Normal,0
Dog,1,757,Young Adult,26,January,1,Pure,White,Healthy/Normal,0
Cat,1,1154,Adult,58,July,1,Mix,White,Healthy/Normal,0
Other,1,247,Puppy/Kitten,2,February,0,Mix,White,Healthy/Normal,0
Dog,1,4413,Senior,29,January,0,Mix,Black,Healthy/Normal,0
Other,0,367,Young Adult,2,March,0,Mix,White,Healthy/Normal,0
Dog,1,773,Young Adult,12,June,1,Pure,Black,Healthy/Normal,0
Dog,1,307,Puppy/Kitten,3,September,1,Mix,Black,Healthy/Normal,0
Dog,1,76,Puppy/Kitten,2,March,0,Mix,White,Healthy/Normal,0
Cat,1,741,Young Adult,2,June,1,Pure,White,Injured,0
Cat,0,733,Young Adult,2,May,0,Pure,Black,Injured,0
Dog,1,561,Young Adult,12,December,0,Mix,Brown,Healthy/Normal,0
Cat,0,739,Young Adult,7,July,1,Mix,Black,Healthy/Normal,0
Cat,1,94,Puppy/Kitten,74,July,1,Mix,Other,Healthy/Normal,0
Cat,0,186,Puppy/Kitten,4,September,0,Pure,Brown,Healthy/Normal,0
Cat,0,372,Young Adult,6,December,0,Pure,Brown,Healthy/Normal,0
Cat,1,95,Puppy/Kitten,27,September,1,Mix,Grey,Healthy/Normal,0
Dog,1,1838,Adult,10,March,1,Mix,Black,Healthy/Normal,0
Cat,1,136,Puppy/Kitten,44,November,1,Mix,Black,Healthy/Normal,0
Cat,1,372,Young Adult,6,November,1,Pure,Other,Healthy/Normal,0
Cat,0,152,Puppy/Kitten,1,June,0,Mix,Brown,Healthy/Normal,0
Dog,1,926,Young Adult,12,July,1,Mix,Grey,Healthy/Normal,0
Cat,0,66,Puppy/Kitten,4,September,0,Mix,White,Healthy/Normal,0
Cat,1,117,Puppy/Kitten,9,September,1,Pure,Grey,Healthy/Normal,0
Cat,1,215,Puppy/Kitten,33,September,1,Pure,Black,Injured,0
Dog,1,1138,Adult,3,January,1,Pure,Black,Healthy/Normal,0
Cat,1,370,Young Adult,5,December,1,Mix,Red,Healthy/Normal,0
Cat,1,577,Young Adult,1,February,1,Mix,White,Healthy/Normal,0
Cat,1,60,Puppy/Kitten,8,September,1,Pure,White,Healthy/Normal,0
Dog,1,262,Puppy/Kitten,19,November,1,Mix,Gold,Healthy/Normal,0
Dog,1,1765,Adult,52,October,1,Pure,White,Healthy/Normal,0
Cat,1,79,Puppy/Kitten,33,August,1,Mix,White,Healthy/Normal,0
Dog,1,1935,Adult,11,April,1,Mix,White,Healthy/Normal,0
Cat,1,214,Puppy/Kitten,30,December,1,Pure,Brown,Injured,0
Dog,1,735,Young Adult,4,April,1,Mix,Black,Healthy/Normal,0
Cat,1,195,Puppy/Kitten,10,February,1,Mix,Other,Healthy/Normal,0
Dog,1,1323,Adult,1,September,1,Mix,White,Healthy/Normal,0
Cat,1,90,Puppy/Kitten,59,November,1,Mix,Other,Healthy/Normal,0
Cat,1,739,Young Adult,8,January,1,Mix,Black,Healthy/Normal,0
Dog,1,76,Puppy/Kitten,6,May,1,Pure,Black,Healthy/Normal,0
Dog,0,126,Puppy/Kitten,4,August,0,Mix,White,Healthy/Normal,0
Cat,1,85,Puppy/Kitten,8,October,0,Pure,White,Healthy/Normal,0
Dog,1,3666,Senior,13,March,1,Pure,Grey,Life Stage/Developmental,0
Dog,1,749,Young Adult,18,June,1,Mix,White,Healthy/Normal,0
Dog,1,341,Puppy/Kitten,8,July,1,Pure,Black,Healthy/Normal,0
Cat,0,1839,Adult,12,February,1,Pure,White,Injured,0
Dog,1,4748,Senior,3,February,1,Pure,Black,Healthy/Normal,0
Dog,0,157,Puppy/Kitten,3,October,0,Mix,Gold,Healthy/Normal,0
Dog,1,1583,Adult,122,October,1,Mix,Black,Healthy/Normal,0
Bird,0,402,Young Adult,37,October,0,Pure,Black,Healthy/Normal,0
Cat,0,60,Puppy/Kitten,2,August,1,Pure,Black,Healthy/Normal,0
Dog,0,48,Puppy/Kitten,1,February,0,Mix,White,Healthy/Normal,0
Cat,0,185,Puppy/Kitten,3,August,0,Mix,White,Healthy/Normal,0
Cat,0,732,Young Adult,2,March,0,Mix,Black,Healthy/Normal,0
Cat,1,307,Puppy/Kitten,3,November,1,Mix,Brown,Healthy/Normal,0
Dog,1,663,Young Adult,1,July,0,Mix,Black,Healthy/Normal,0
Dog,1,2301,Adult,2,May,1,Mix,Tricolor,Healthy/Normal,0
Dog,1,3988,Senior,4,February,1,Mix,Gold,Healthy/Normal,0
Cat,1,420,Young Adult,55,May,1,Mix,Brown,Healthy/Normal,0
Dog,1,375,Young Adult,9,January,1,Mix,Brown,Healthy/Normal,0
Dog,1,152,Puppy/Kitten,2,October,1,Mix,Black,Healthy/Normal,0
Other,1,2572,Senior,11,March,0,Pure,White,Healthy/Normal,0
Cat,0,49,Puppy/Kitten,3,October,0,Mix,White,Healthy/Normal,0
Dog,1,1749,Adult,143,July,1,Mix,White,Healthy/Normal,0
Cat,1,203,Puppy/Kitten,5,November,1,Mix,Other,Healthy/Normal,0
Dog,1,842,Young Adult,50,December,1,Mix,Black,Healthy/Normal,0
Dog,1,928,Young Adult,17,April,1,Mix,Black,Healthy/Normal,0
Cat,0,373,Young Adult,7,October,0,Pure,White,Healthy/Normal,0
Cat,1,106,Puppy/Kitten,14,August,1,Pure,Brown,Healthy/Normal,0
Dog,1,273,Puppy/Kitten,6,September,1,Mix,White,Healthy/Normal,0
Cat,1,901,Young Adult,3,February,1,Mix,Other,Healthy/Normal,0
Cat,0,1104,Adult,8,June,1,Pure,Other,Healthy/Normal,0
Dog,1,1152,Adult,55,March,1,Mix,White,Injured,0
Dog,0,128,Puppy/Kitten,6,July,1,Pure,Black,Healthy/Normal,0
Cat,0,195,Puppy/Kitten,13,April,0,Mix,Grey,Healthy/Normal,0
Cat,1,70,Puppy/Kitten,8,July,0,Mix,Brown,Healthy/Normal,0
Cat,0,49,Puppy/Kitten,3,October,0,Mix,Other,Healthy/Normal,0
Dog,1,5481,Senior,2,February,1,Pure,Black,Healthy/Normal,0
Other,1,106,Puppy/Kitten,91,September,0,Mix,Black,Healthy/Normal,0
Dog,1,41,Puppy/Kitten,2,December,0,Pure,Black,Healthy/Normal,0
Other,0,734,Young Adult,2,April,0,Mix,Brown,Healthy/Normal,0
Dog,1,736,Young Adult,5,December,1,Mix,White,Healthy/Normal,0
Dog,0,74,Puppy/Kitten,5,January,1,Mix,Red,Healthy/Normal,0
Dog,1,81,Puppy/Kitten,4,July,1,Mix,Black,Healthy/Normal,0
Dog,1,553,Young Adult,4,October,1,Mix,Black,Healthy/Normal,0
Dog,1,3653,Senior,19,September,1,Mix,White,Healthy/Normal,0
Dog,1,839,Young Adult,31,June,1,Pure,Black,Healthy/Normal,0
Cat,0,80,Puppy/Kitten,4,October,1,Mix,White,Healthy/Normal,0
Dog,1,2757,Senior,60,June,1,Mix,Black,Injured,0
Cat,0,331,Puppy/Kitten,300,April,1,Mix,White,Healthy/Normal,0
Cat,1,158,Puppy/Kitten,5,February,1,Mix,Other,Healthy/Normal,0
Dog,1,265,Puppy/Kitten,22,April,1,Pure,Other,Healthy/Normal,0
Cat,1,752,Young Adult,20,June,1,Pure,Grey,Injured,0
Dog,0,154,Puppy/Kitten,2,March,1,Mix,Red,Healthy/Normal,0
Cat,1,165,Puppy/Kitten,119,March,1,Pure,White,Healthy/Normal,0
Cat,1,2201,Adult,8,February,1,Mix,Brown,Healthy/Normal,0
Cat,1,739,Young Adult,8,March,1,Mix,Red,Healthy/Normal,0
Dog,0,67,Puppy/Kitten,5,September,1,Mix,White,Healthy/Normal,0
Dog,1,60,Puppy/Kitten,6,September,1,Pure,White,Healthy/Normal,0
Dog,1,1827,Adult,1,February,1,Mix,Black,Healthy/Normal,0
Cat,1,101,Puppy/Kitten,71,July,1,Mix,Red,Healthy/Normal,0
